ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit,expected_name
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Number of sponsored projects,421.0,value in Absolute Number,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Number of sponsored projects,325.0,value in Absolute Number,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Number of sponsored projects,219.0,value in Absolute Number,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),328564287.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),290548221.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),289963998.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),242974613.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),193158980.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),128762896.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022-23,Number of sponsored projects,1343.0,value in Absolute Number,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021-22,Number of sponsored projects,1178.0,value in Absolute Number,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020-21,Number of sponsored projects,1594.0,value in Absolute Number,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022-23,Amount received (INR),5347726925.0,value in Rupees,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021-22,Amount received (INR),5437309580.0,value in Rupees,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020-21,Amount received (INR),5257220083.0,value in Rupees,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022-23,Amount received (INR),974238779.0,value in Rupees,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021-22,Amount received (INR),734281053.0,value in Rupees,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020-21,Amount received (INR),730156841.0,value in Rupees,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022-23,Number of sponsored projects,146.0,value in Absolute Number,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021-22,Number of sponsored projects,127.0,value in Absolute Number,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020-21,Number of sponsored projects,105.0,value in Absolute Number,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022-23,Amount received (INR),139337324.0,value in Rupees,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021-22,Amount received (INR),225184388.0,value in Rupees,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020-21,Amount received (INR),71779033.0,value in Rupees,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022-23,Amount received (INR),28564438.0,value in Rupees,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021-22,Amount received (INR),22015325.0,value in Rupees,Vellore Institute of Technology
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020-21,Amount received (INR),16511146.0,value in Rupees,Vellore Institute of Technology
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2022-23,Number of sponsored projects,193.0,value in Absolute Number,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2021-22,Number of sponsored projects,165.0,value in Absolute Number,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2020-21,Number of sponsored projects,112.0,value in Absolute Number,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2022-23,Amount received (INR),21494223.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2021-22,Amount received (INR),12522764.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2020-21,Amount received (INR),16233925.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2022-23,Amount received (INR),0.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2021-22,Amount received (INR),297670950.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2020-21,Amount received (INR),45347340.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2022-23,Number of sponsored projects,370.0,value in Absolute Number,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2021-22,Number of sponsored projects,392.0,value in Absolute Number,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2020-21,Number of sponsored projects,388.0,value in Absolute Number,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2022-23,Amount received (INR),316713386.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2021-22,Amount received (INR),315287303.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2020-21,Amount received (INR),293380071.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2022-23,Amount received (INR),503743081.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2021-22,Amount received (INR),275440351.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2020-21,Amount received (INR),95454521.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2022-23,Number of sponsored projects,47.0,value in Absolute Number,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2021-22,Number of sponsored projects,29.0,value in Absolute Number,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2020-21,Number of sponsored projects,22.0,value in Absolute Number,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2022-23,Amount received (INR),32186597.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2021-22,Amount received (INR),28164497.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2020-21,Amount received (INR),20072456.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2022-23,Amount received (INR),32366340.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2021-22,Amount received (INR),31185422.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2020-21,Amount received (INR),20606551.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2022-23,Number of sponsored projects,51.0,value in Absolute Number,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2021-22,Number of sponsored projects,47.0,value in Absolute Number,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2020-21,Number of sponsored projects,55.0,value in Absolute Number,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2022-23,Amount received (INR),78919283.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2021-22,Amount received (INR),71946697.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2020-21,Amount received (INR),120161713.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2022-23,Amount received (INR),35218465.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2021-22,Amount received (INR),41955288.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2020-21,Amount received (INR),38412066.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2022-23,Number of sponsored projects,104.0,value in Absolute Number,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2021-22,Number of sponsored projects,88.0,value in Absolute Number,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2020-21,Number of sponsored projects,82.0,value in Absolute Number,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2022-23,Amount received (INR),100109423.0,value in Rupees,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2021-22,Amount received (INR),73788777.0,value in Rupees,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2020-21,Amount received (INR),59004884.0,value in Rupees,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2022-23,Amount received (INR),68370325.0,value in Rupees,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2021-22,Amount received (INR),48801127.0,value in Rupees,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2020-21,Amount received (INR),25785946.0,value in Rupees,Symbiosis International
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2022-23,Number of sponsored projects,93.0,value in Absolute Number,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2021-22,Number of sponsored projects,119.0,value in Absolute Number,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2020-21,Number of sponsored projects,84.0,value in Absolute Number,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2022-23,Amount received (INR),383628283.0,value in Rupees,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2021-22,Amount received (INR),468110570.0,value in Rupees,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2020-21,Amount received (INR),385574187.0,value in Rupees,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2022-23,Amount received (INR),374307940.0,value in Rupees,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2021-22,Amount received (INR),230476674.0,value in Rupees,Anna University
2024,Overall,IR-O-U-0439,Jain University,,Bengaluru,2020-21,Amount received (INR),238971754.0,value in Rupees,Anna University
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2022-23,Number of sponsored projects,72.0,value in Absolute Number,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2021-22,Number of sponsored projects,56.0,value in Absolute Number,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2020-21,Number of sponsored projects,40.0,value in Absolute Number,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2022-23,Amount received (INR),298855422.0,value in Rupees,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2021-22,Amount received (INR),195141072.0,value in Rupees,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2020-21,Amount received (INR),197923676.0,value in Rupees,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2022-23,Amount received (INR),763000.0,value in Rupees,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2021-22,Amount received (INR),738000.0,value in Rupees,University of Jammu
2024,Overall,IR-O-U-0195,University of Mumbai,Maharashtra,Mumbai,2020-21,Amount received (INR),36000.0,value in Rupees,University of Jammu
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2022-23,Number of sponsored projects,88.0,value in Absolute Number,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2021-22,Number of sponsored projects,71.0,value in Absolute Number,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2020-21,Number of sponsored projects,104.0,value in Absolute Number,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2022-23,Amount received (INR),97101000.0,value in Rupees,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2021-22,Amount received (INR),92545000.0,value in Rupees,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2020-21,Amount received (INR),101038000.0,value in Rupees,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2022-23,Amount received (INR),362562068.0,value in Rupees,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2021-22,Amount received (INR),989741000.0,value in Rupees,Siksha `O` Anusandhan
2024,Overall,IR-O-U-0363,Siksha O Anusandhan University,Orissa,Bhubaneswar,2020-21,Amount received (INR),752506487.0,value in Rupees,Siksha `O` Anusandhan
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2022-23,Number of sponsored projects,44.0,value in Absolute Number,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2021-22,Number of sponsored projects,52.0,value in Absolute Number,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2020-21,Number of sponsored projects,66.0,value in Absolute Number,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2022-23,Amount received (INR),108490000.0,value in Rupees,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2021-22,Amount received (INR),103620000.0,value in Rupees,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2020-21,Amount received (INR),84804000.0,value in Rupees,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2022-23,Amount received (INR),31349485.0,value in Rupees,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2021-22,Amount received (INR),38856945.0,value in Rupees,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-I-1480,Thapar Institute of Engineering & Technology,,Patiāla,2020-21,Amount received (INR),32110836.0,value in Rupees,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2022-23,Number of sponsored projects,158.0,value in Absolute Number,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2021-22,Number of sponsored projects,145.0,value in Absolute Number,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2020-21,Number of sponsored projects,135.0,value in Absolute Number,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2022-23,Amount received (INR),225725203.0,value in Rupees,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2021-22,Amount received (INR),214552500.0,value in Rupees,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2020-21,Amount received (INR),193542500.0,value in Rupees,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2022-23,Amount received (INR),30234057.0,value in Rupees,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2021-22,Amount received (INR),29979500.0,value in Rupees,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0474,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,,Chennai,2020-21,Amount received (INR),28275000.0,value in Rupees,Sathyabama Institute of Science and Technology
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2022-23,Number of sponsored projects,121.0,value in Absolute Number,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2021-22,Number of sponsored projects,47.0,value in Absolute Number,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2020-21,Number of sponsored projects,101.0,value in Absolute Number,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2022-23,Amount received (INR),201477096.0,value in Rupees,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2021-22,Amount received (INR),60961825.0,value in Rupees,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2020-21,Amount received (INR),137014456.0,value in Rupees,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2022-23,Amount received (INR),7349747.0,value in Rupees,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2021-22,Amount received (INR),1743819.0,value in Rupees,Amity University
2024,Overall,IR-O-U-0497,GITAM University,Andhra Pradesh,Visakhapatnam,2020-21,Amount received (INR),721770.0,value in Rupees,Amity University
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2022-23,Number of sponsored projects,444.0,value in Absolute Number,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2021-22,Number of sponsored projects,553.0,value in Absolute Number,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2020-21,Number of sponsored projects,434.0,value in Absolute Number,University of Delhi
