institution_id,openalex_id,degree,is_hub
e9cc852d-c229-4457-a316-e8f38255c048,I145894827,6095,False
49837a23-0599-4a35-a43f-15be413cc1a0,I162827531,5345,True
62ed1d2c-52ae-4ba2-8c99-95f009b95972,I24676775,3348,False
129be347-f8df-4fd2-b553-37ff0fd31af1,I94234084,3924,False
0e3df575-bd15-41f1-821e-51c48763aa57,I68891433,7021,False
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,I1317621060,2974,False
f755a6a4-7f5e-4286-a36e-f3db5550661d,I154851008,4617,False
d51bcfb2-a187-49fa-9ebd-fd12ae98e331,I99729588,947,False
c4ff2815-fe99-4fc1-a6c3-402ac6322a76,I27674431,421,False
7553f510-4039-4c36-b5d3-2dd983d9bc70,I65181880,1213,False
5bcb34a1-ac72-47e1-9dd5-b295d7e8664f,I154549908,979,False
ff60ecf0-39c2-4a17-a941-2b03df4ce12b,I132153292,742,False
aa83bbde-9db5-4ca5-ab64-f2cec6d6f46f,I119241673,857,False
92004806-cba2-4966-9ebf-9f31bc5a9597,I64295750,1498,False
e98e91f3-ef30-41ea-b7e9-c708270266ba,I9579091,613,False
5f90b565-15b8-4035-ab58-963431c3275d,I56404289,10274,True
f557894b-a324-439c-a6a7-f6d2a87a6bed,I4210113248,229,False
7b3d00a5-49ca-420b-a758-0534ef4fedc2,I4210109292,285,False
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,I189109744,1657,False
732980be-8d6a-4c03-8a1c-dcd5b939e27f,I4210121466,264,False
a2b7b421-2ef8-4071-80e7-dcafdc7c3ecf,I4210112052,136,False
f6a0e07c-58dc-463e-8e04-d8d08a9a7342,I4210127441,343,False
1a5bd65a-cf0d-45e2-8735-5434d64998b8,I4210152718,169,False
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I59270414,4566,True
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I63739035,17033,True
4d6717be-0714-4972-b1d4-571c58d9a46f,I110166357,7062,True
fd56c1b8-3390-4d13-9121-2b061d0b11ac,I876193797,7060,True
672214f6-22a9-4d55-8c6c-5b28a5159516,I91357014,17988,True
47b972a6-fdf5-499c-a99f-fd0fedb15993,I85461943,5063,False
131f1481-eede-4a15-a738-57b4c90b26ad,I45294948,4342,False
c7f37aac-de96-454a-bf3d-af0ff418e79e,I164861460,9082,True
93e1f5b3-3c8f-4e18-a29b-afa586e5d865,I145286018,8001,True
4a1e94cf-f0b6-4560-ab2c-bd58ab8792ac,I99552915,9789,True
6627a151-3a0d-44f3-adf4-d5255e5a4cc9,I170979836,4382,False
0e011302-5676-4cf1-95b3-f0adc82f6893,I51317819,9473,True
736be13b-21db-4757-bfac-35c77c891892,I33585257,5314,False
18ae8c5a-a263-4906-9d6a-25bf48ed31e6,I171210897,2223,False
bd7fc63e-4dd7-488f-8022-1332b3642dcf,I106542073,2909,False
ae9d1da9-8ea6-45ab-ab98-70e36ba8a21b,I99364266,4196,False
5aa5a4ff-8b68-4a33-87ae-4dce4f3d4a91,I81556334,1820,False
1067ba73-ff68-46c5-b68e-4bf7cda57988,I110360157,3681,False
2050b90e-0227-468a-8571-63864a963f7c,I51452335,2767,False
5bc14c1f-47f1-4ec9-89ba-e678e7ee486c,I878213199,2182,False
b539f583-d8d6-437c-9ae4-5807681767b9,I11947397,1605,False
fef15cf2-3c2a-4059-85a5-f9737b912a4c,I101407740,3828,False
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,I152429107,2906,False
b49755e6-20af-465e-9c60-82974ede833a,I36893310,2412,False
ead97a8a-02d7-4f7b-b0b3-0a56f78257cb,I197081775,521,False
f03f9fd4-2251-4e13-8c6c-5e3ca946f289,I48018076,643,False
d5b58b79-7727-4cac-b9d6-1735e93b2968,I191972202,2002,False
ac8b1844-88b8-465a-9729-6f0ca11190f9,I74319210,1543,False
3ccdda45-076a-4fcb-af38-2f4b09aa8ccb,I200207707,1876,False
d031820e-53e0-49a4-b0c5-edb3a7724b8a,I60054993,1833,False
0d8fc077-1885-4fe9-a175-49b042facab9,I6498739,1235,False
0d9eda01-0613-4077-b69a-93861219bf67,I59475050,1803,False
620c0800-344d-45c2-8c05-b0876f7dac8f,I172917736,1444,False
edf10c4c-ca24-4805-b33c-ddf5428d22ff,I16292982,1584,False
6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,I83205935,839,False
d93978d3-2c97-47c6-8d5a-b6472222104c,I74796645,1152,False
80153acc-b176-42b7-b0f1-dd40b152084d,I215927,1091,False
5866f537-6318-4586-bf6d-4433c5b4bbf7,I122964287,1152,False
529bfa45-38b5-4fa3-ad24-0cdc1a731124,I875944469,1540,False
e53966df-0e1d-4551-bffd-ab1bde3800e4,I244572783,1084,False
d8caf76d-8ea5-44f6-939d-e450309d2de1,I76414455,5900,False
48e9b5fb-0b5b-42f0-a98b-cbc31d34b300,I67357951,1495,False
4521b7d6-9c9f-41f9-8061-593ae0c361dc,I106826634,741,False
04e4f2b0-9883-4fb8-9c64-cb5b49d6b361,I100887729,237,False
4dec3aaa-d6ae-4b77-ac09-50d7bdc68bb2,I43814544,1412,False
fb160d73-523e-4f2a-8052-11f55f43e268,I175691731,888,False
0975bc21-a976-44a9-a251-f0e626168e55,I8975392,394,False
2519526b-e995-469e-ae6f-8385feff245c,I4210131147,2787,False
1a4bb242-813a-46c1-8f5a-8782d5040d19,I169877490,847,False
90352157-ced6-4e2a-b6ef-515ed6cc5aac,I193073490,563,False
f520daa7-29f5-4b11-b9a4-9b02860351ec,I863896202,1285,False
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,I162030827,1236,False
52ef5836-d1be-4182-9b45-218b36478268,I167751958,379,False
1f4b5eaa-ddfb-448c-8805-4c0936e40f61,I165682329,929,False
c1a7591c-a5be-413d-bcfb-050692c5edef,I134900695,217,False
74aaf314-5e8c-4cde-9333-83e97345070d,I4076070,1214,False
d653d230-8e4e-4388-b50b-790fea6d666f,I11880225,1398,False
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,I111575329,471,False
b45c2598-3515-4da1-9660-75a5ff4428fa,I121750182,720,False
5f71086b-ce24-4741-89c7-c8583ab5948c,I8977528,660,False
d538b33b-7df6-426d-a326-e6336207fb5f,I170558118,650,False
eee22ec4-aa39-45b3-95e0-7f6250924a00,I1330855593,2023,False
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,I280994,1371,False
7693ea92-ef4b-486f-96c6-89db3749c43e,I885392262,924,False
b20ed218-ebd3-4a6b-a2c8-9bef7907b934,I899646,265,False
104fe323-87bc-48e9-a752-22b34af999bb,I186246823,847,False
cb03a5e5-b2f5-4e95-af9f-a170aab03713,I165998391,830,False
d601a25e-5d3b-4d71-aa65-699b49346b71,I887998513,692,False
b2d3eebd-0307-42ad-9f36-2a10b73de285,I168893459,866,False
e1b3f8dc-6b5d-403e-ac6f-b1a3573c4021,I77501641,1062,False
ac895106-caa3-41c5-8959-084d58f9383c,I204743663,201,False
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I4210106490,11099,True
d56d1ee4-862c-4274-8441-c2db9590627d,I4210144496,364,False
f7c6962b-4442-458c-90b7-eec41137a0d9,I98365261,1532,False
38518a3c-9425-41d0-8068-2e2332a46de1,I129734738,11159,True
e952e5d1-7eb4-40a2-88a2-3dc7118e2255,I20497027,272,False
8a91aa93-1bba-4381-a03c-d032be364f69,I5847235,951,False
646437d3-b8bf-4df0-933f-437279dffc88,I61923386,1314,False
a6628147-0d10-4564-bae9-b8be8be7cd21,I42014448,739,False
c9e12928-adad-470b-bcc3-a64f958bd34b,I76777374,9806,True
8f79bb14-2687-41a1-a556-23a0a56f5210,I157674215,1409,False
9657935b-6b9b-4504-9bec-eb245e65da0f,I129862065,629,False
a216703f-5b10-44cb-8fe0-11f6ff1cd1bd,I155837530,1081,False
5cb3587e-a197-4ece-8d45-9f364c87990f,I19716509,1577,False
4aeb5e4d-7ee0-4ca2-a8ed-10cf13445ffc,I82571370,1015,False
4aa00129-4c2f-4e57-9053-cbf0c58dd2c1,I135388327,652,False
338f6c5e-2956-40cf-80ce-2047521fc9ef,I115715567,790,False
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,I20107917,851,False
cb1e371e-ffd1-4175-974b-b91e8cbe4ea1,I155125381,777,False
20a76e3b-d397-44ea-a50b-42ad2940af51,I79161377,596,False
b2210d61-d364-40bd-abfa-2d7b5023d562,I141641110,427,False
81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,I932239252,717,False
36d17eae-f23d-4896-8bb8-848c7ba25547,I19008122,356,False
149ca745-c80a-4eb3-97bd-36ad7d8e4b2b,I4210108783,791,False
5374b462-1d87-4026-a9dd-901a6e394a62,I10874241,336,False
a281fcbb-f4c9-4634-9e3a-a1aa7b0c9321,I65220239,850,False
73f788c8-33d5-4d60-9d7a-bb3fd5221d14,I158338959,181,False
